"Mean_A","Mean_B","Radius_A","Radius_B","overlap","r","r_wuchs","t","t_wuchs","SGC","SSGC","p","p_GLK","sum_sims"
"1TN_Q1","WOS7_Q1","C","C",296,0.48483772,0.51119156,9.52129207,10.19831058,0.63389831,0.04067797,4.2339e-06,NA,2.164920928
"1TN_Q1","ZWS6_Q1","C","C",296,0.49906765,0.51984043,9.89168489,10.43402636,0.64745763,0.05084746,4.077e-07,NA,2.210700696
"202_Q1","068_Q1","C","M",51,0.2155973,0.5909551,1.56121935,5.12788256,0.72,0.06,0.0018628463,NA,1.823743356
"202_Q1","HOL_KORB","M","H",188,0.34731964,0.73786133,5.06482621,14.90932975,0.7540107,0.02673797,0,NA,2.982805005
"202_Q1","HOL_MB253","C","H",150,0.39793443,0.66066125,5.29467561,10.70662131,0.75167785,0.03355705,8e-10,NA,2.483001231
"202_Q1","HOL_TATE","C","H",183,0.3146548,0.66169771,4.47207938,11.87327269,0.73626374,0.02197802,2e-10,NA,2.585288719
"202_Q1","HOL_TMB12","C","H",142,0.31242277,0.68373816,3.90530184,11.08646689,0.70921986,0.07092199,6.74e-07,NA,2.501604709
"202_Q1","HOL_TRMB32","M","H",133,0.45697469,0.57705577,5.9025962,8.08701703,0.74242424,0.03030303,2.54e-08,NA,2.128181713
"202_Q1","METZ_Q3","C","C",75,0.59959361,0.68050625,6.44491999,7.93491536,0.74324324,0.04054054,2.85273e-05,NA,2.217241026
"202_Q1","STF_Q1","M","M",93,0.42561765,0.54443959,4.5114014,6.19172899,0.7173913,0.07608696,3.04215e-05,NA,1.881003789
"202_Q1","VFH_Q2","C","C",101,0.57800626,0.6286828,7.08312938,8.04374671,0.71,0.04,2.66915e-05,NA,2.143057471
"388_Q1","585_Q2","C","C",54,0.60225165,0.70291963,5.49220037,7.12645086,0.71698113,0.05660377,0.0015815242,NA,2.132545846
"388_Q1","600_Q1","M","C",66,0.32084707,0.63896528,2.73114463,6.6451973,0.76923077,0.01538462,1.41697e-05,NA,2.07271578
"388_Q1","DMN1_Q1","C","C",121,0.59408781,0.58265465,8.09038329,7.8206677,0.69166667,0.04166667,2.67852e-05,NA,2.05638809
"388_Q1","DMN1_Q2","M","M",106,0.04330067,0.5517005,0.44411642,6.74577692,0.6952381,0,6.30246e-05,NA,1.921516292
"388_Q1","MB_Q1","M","M",113,0.31767695,0.51051744,3.54564471,6.25519116,0.6875,0,7.22879e-05,NA,1.823536556
"388_Q1","MEK_Q1","M","C",99,0.24807902,0.50735622,2.53510489,5.79861673,0.70408163,0.04081633,5.33123e-05,NA,1.791299523
"388_Q1","NOVY_Q2","C","C",62,0.4872698,0.55046578,4.35807888,5.1073248,0.70491803,0.03278689,0.0013698861,NA,1.76611629
"563_Q1","068_Q1","M","C",233,0.42989358,0.54157661,7.25228938,9.79151627,0.65517241,0.0387931,2.2783e-06,NA,2.175900647
"563_Q1","195_Q1","C","M",205,0.46533949,0.57536898,7.50890841,10.02299365,0.64215686,0.04901961,4.89023e-05,NA,2.219825205
"563_Q1","587_Q1","M","M",309,0.38702023,0.6759113,7.36621787,16.06946571,0.72402597,0.04545455,0,NA,3.006883841
"563_Q1","HOL_TMB12","C","H",170,0.23789518,0.62543151,3.18404872,10.38925583,0.71005917,0.07692308,4.72e-08,NA,2.374416263
"563_Q1","HOL_TRRB","M","H",134,0.22680854,0.55604135,2.6856741,7.68620974,0.68421053,0.04511278,2.14881e-05,NA,2.008872854
"563_Q1","HOL_WEDW","M","H",182,0.4279446,0.53442847,6.37018599,8.48319222,0.70718232,0.02209945,2.48e-08,NA,2.089930012
"563_Q1","VRIG_Q1","C","M",96,0.48720121,0.54738677,5.43765684,6.34154615,0.70526316,0.05263158,6.29913e-05,NA,1.886804545
"563_Q1","WOS7_Q1","C","C",319,0.60046293,0.58639534,13.39054982,12.88907396,0.68867925,0.03773585,0,NA,2.563981986
"563_Q1","ZWS2_Q1","C","C",284,0.4588045,0.51021899,8.68650849,9.96231415,0.67844523,0.02826855,1.9e-09,NA,2.184895635
"563_Q1","ZWS6_Q1","C","C",319,0.60818824,0.6218963,13.66294766,14.13938752,0.68238994,0.04716981,1e-10,NA,2.718224992
"585_Q1","600_Q1","M","M",103,0.6395916,0.54553109,8.40306159,6.54167908,0.69607843,0.00980392,7.47648e-05,NA,1.895777428
"585_Q1","C4CRH_Q1","C","C",70,0.60468602,0.65385286,6.30649939,7.12616166,0.72463768,0.05797101,0.0001899946,NA,2.091106706
"585_Q1","HOK_Q1","C","C",148,0.54697493,0.51545107,7.92179007,7.26815347,0.68707483,0.05442177,5.7243e-06,NA,1.929341247
"585_Q1","MMB_Q2","M","C",144,0.24132236,0.51312503,2.97368284,7.12395628,0.68531469,0.01398601,9.3327e-06,NA,1.910835348
"585_Q1","VFH_Q3","C","M",177,0.29123046,0.50899874,4.03867328,7.82257963,0.65909091,0.02272727,2.4305e-05,NA,1.950347613
"585_Q2","388_Q1","C","C",54,0.60225165,0.70291963,5.49220037,7.12645086,0.71698113,0.05660377,0.0015815242,NA,2.132545846
"585_Q2","600_Q1","C","C",67,0.61319045,0.60939539,6.306319,6.19663306,0.71212121,0.04545455,0.0005677688,NA,1.941179906
"585_Q2","NOVY_Q2","M","C",67,0.37153536,0.58791492,3.25108404,5.85954779,0.72727273,0.01515152,0.0002218467,NA,1.901142429
"587_Q1","195_Q1","C","M",241,0.44486411,0.55571849,7.69519857,10.33377914,0.65,0.0625,3.3585e-06,NA,2.239096404
"587_Q1","1TN_Q1","C","C",286,0.47085389,0.51043906,9.01023289,10.00341037,0.67017544,0.04912281,9.1e-09,NA,2.180955537
"587_Q1","563_Q1","M","M",309,0.38702023,0.6759113,7.36621787,16.06946571,0.72402597,0.04545455,0,NA,3.006883841
"587_Q1","HOL_KORH","M","H",85,0.50563261,0.54119604,5.37143481,5.86342174,0.70238095,0.01190476,0.0002075016,NA,1.829919164
"587_Q1","HOL_LKSB","M","H",200,0.59848897,0.5166212,10.53850802,8.49028876,0.67336683,0.05025126,1.0018e-06,NA,2.039016906
"587_Q1","HOL_MRBR","C","H",138,0.27849284,0.59151364,3.39394536,8.55539865,0.67153285,0.0729927,5.93247e-05,NA,2.118586355
"587_Q1","HOL_TITE","M","H",53,0.47559678,0.58954205,3.89873802,5.21230151,0.71153846,0,0.0022819373,NA,1.822310661
"587_Q1","HOL_TRRB","C","H",170,0.35364002,0.54098678,4.91491419,8.33737319,0.68639053,0.04733728,1.2588e-06,NA,2.061114629
"587_Q1","VEN_Q1","C","C",180,0.49125385,0.51309134,7.54581445,7.97532455,0.65363128,0.0726257,3.94132e-05,NA,1.964255075
"587_Q1","WOS7_Q1","M","C",331,0.31603626,0.55929674,6.05122658,12.23778217,0.69393939,0.03636364,0,NA,2.477014347
"587_Q1","ZWS6_Q1","C","C",345,0.50555116,0.51559841,10.86765611,11.14458187,0.66860465,0.05523256,4e-10,NA,2.298661247
"600_Q1","388_Q1","C","M",66,0.32084707,0.63896528,2.73114463,6.6451973,0.76923077,0.01538462,1.41697e-05,NA,2.07271578
"600_Q1","585_Q1","M","M",103,0.6395916,0.54553109,8.40306159,6.54167908,0.69607843,0.00980392,7.47648e-05,NA,1.895777428
"600_Q1","585_Q2","C","C",67,0.61319045,0.60939539,6.306319,6.19663306,0.71212121,0.04545455,0.0005677688,NA,1.941179906
"600_Q1","MEK_Q1","M","C",104,0.38496865,0.62911109,4.23326426,8.17391577,0.72815534,0.05825243,3.6382e-06,NA,2.174658007
"600_Q1","NOVY_Q2","C","C",85,0.64591669,0.69847512,7.75460164,8.89198704,0.70238095,0.04761905,0.0002075016,NA,2.290054774
"ABC_Q1","DIF_Q1","C","C",333,0.5967543,0.6293887,13.55066723,14.7353773,0.72891566,0.06626506,0,NA,2.83184209
"ABC_Q1","WEF_Q1","M","M",245,0.35481682,0.52702189,5.92812426,9.66693134,0.69672131,0.04508197,8e-10,NA,2.190436334
"ALC_Q1","BHC_Q1","M","C",190,0.19402265,0.52317382,2.71904025,8.41724839,0.65079365,0.04232804,3.38127e-05,NA,2.015692309
"ALC_Q1","BSN_Q1","C","C",240,0.5137293,0.58958091,9.25699714,11.26099588,0.64853556,0.07949791,4.3774e-06,NA,2.364216058
"ALC_Q1","C5A_Q1","C","C",265,0.57271714,0.58484242,11.3516527,11.69276484,0.68939394,0.06439394,8e-10,NA,2.443512844
"ALC_Q1","NWH_Q1","C","C",241,0.4181362,0.56183514,7.13105438,10.4995692,0.68333333,0.0875,1.34e-08,NA,2.29512539
"ALC_Q1","SPR_Q1","M","M",216,0.42453433,0.59578574,6.87520848,10.85185264,0.6744186,0.03255814,3.138e-07,NA,2.355389604
"ALC_Q1","VDMM_Q1","C","C",177,0.50784928,0.57220863,7.82101554,9.23001346,0.71022727,0.03977273,2.43e-08,NA,2.205437246
"ALC_Q1","VDMWL_Q2","M","M",159,0.43353621,0.61048297,6.04732773,9.65788633,0.68987342,0.06329114,1.8119e-06,NA,2.266145023
"ALC_Q1","VEL_Q2","M","C",117,0.48808589,0.71384824,6.02299764,10.93126482,0.78448276,0.03448276,9e-10,NA,2.591457482
"ALC_Q1","VOW_Q1","C","M",78,0.49580645,0.53475893,5.00980929,5.51703499,0.75324675,0.01298701,8.8112e-06,NA,1.839709179
"ALC_Q1","VZS_Q1","C","M",117,0.52925182,0.56407043,6.71827115,7.32564616,0.68103448,0.06896552,9.63509e-05,NA,1.977669526
"ALC_Q1","WOS7_Q2","C","C",201,0.64800899,0.5821118,12.03234991,10.0991378,0.665,0.08,3.0577e-06,NA,2.25702558
"ALC_Q3","RAT_Q1","C","C",72,0.47964833,0.57341889,4.60600479,5.85595895,0.73239437,0.05633803,8.98887e-05,NA,1.891409155
"ALC_Q3","WOS7_Q2","C","C",72,0.62836597,0.6259067,6.80625293,6.71461077,0.71830986,0.05633803,0.000234129,NA,2.015677637
"ALC_Q3","ZWS6_Q2","M","C",72,0.43841042,0.52730542,4.11016363,5.19227877,0.76056338,0.04225352,1.12783e-05,NA,1.807096677
"ATTO_Q1","HOL_KBMB","C","H",129,0.42399695,0.53126742,5.29664419,7.06686761,0.6796875,0.046875,4.78548e-05,NA,1.917641681
"ATTO_Q1","HOL_TMB12","M","H",83,0.69342693,0.69588628,8.71479947,8.72096243,0.76829268,0.02439024,1.1799e-06,NA,2.336275203
"AZW_Q1","HRW_Q1","M","M",76,0.72277943,0.5806525,9.05751063,6.13517462,0.74666667,0.01333333,1.93387e-05,NA,1.940836632
"BAR_Q1","BHC_Q1","M","M",168,0.13008223,0.63909261,1.69543865,10.70577727,0.70658683,0.01197605,9.33e-08,NA,2.416257167
"BAR_Q1","BJG_Q1","C","M",242,0.31612008,0.506966,5.17276699,9.1115926,0.70539419,0.05394191,2e-10,NA,2.12351945
"BAR_Q1","DMN1_Q1","M","C",142,0.33210488,0.51912736,4.18082005,7.1866387,0.68794326,0.02836879,8.0667e-06,NA,1.92573449
"BAR_Q1","LIW_Q1","M","M",55,-0.46690852,0.53329683,-3.87995151,4.58958529,0.72222222,0.01851852,0.0010908352,NA,1.714477579
"BAW_Q1","NEW_Q1","M","M",125,0.32963959,0.52304779,3.88802505,6.80612192,0.67741935,0.03225806,7.77224e-05,NA,1.881079332
"BECRAA","068_Q1","B","M",165,0.21661985,0.5909736,2.84155753,9.35308166,0.70731707,0.04878049,1.097e-07,NA,2.233598836
"BECRAA","068_Q2","B","M",155,0.42038526,0.52505997,5.74956579,7.63118137,0.67532468,0.04545455,1.35244e-05,NA,1.963502787
"BECRAA","BECRKO","B","B",138,0.46486226,0.50591098,6.14544565,6.83976693,0.69343066,0.04379562,5.9518e-06,NA,1.883318333
"BECRAA","ELT_Q1","B","C",105,0.32969334,0.6150548,3.56134729,7.91661154,0.71153846,0.08653846,1.59925e-05,NA,2.118254414
"BECRKO","068_Q1","B","M",142,0.83286202,0.65375092,17.86817318,10.22226112,0.73049645,0.04964539,4.4e-08,NA,2.406473482
"BECRKO","068_Q2","B","C",142,0.36589862,0.68565067,4.66854717,11.14491779,0.68794326,0.04964539,8.0667e-06,NA,2.488085709
"BECRKO","BECRAA","B","B",138,0.46486226,0.50591098,6.14544565,6.83976693,0.69343066,0.04379562,5.9518e-06,NA,1.883318333
"BECRKO","VFH_Q1","B","C",142,0.34413675,0.60167804,4.35223402,8.9129905,0.68085106,0.03546099,1.74713e-05,NA,2.17382815
"BECRMA","BECRRB","B","B",172,0.7862807,0.60663103,16.64098187,9.94926415,0.65497076,0.05263158,5.05626e-05,NA,2.256528205
"BECRMA","BECRSB","B","B",157,0.59716513,0.53180371,9.29861565,7.81810802,0.68589744,0.05128205,3.422e-06,NA,1.999511952
"BECRRB","BECRMA","B","B",172,0.7862807,0.60663103,16.64098187,9.94926415,0.65497076,0.05263158,5.05626e-05,NA,2.256528205
"BECRSB","BECRMA","B","B",157,0.59716513,0.53180371,9.29861565,7.81810802,0.68589744,0.05128205,3.422e-06,NA,1.999511952
"BECRWE","068_Q1","B","M",172,0.64899252,0.60157689,11.1550164,9.81904942,0.64912281,0.06432749,9.61659e-05,NA,2.232604642
"BECRWE","VFH_Q1","B","C",170,0.34158907,0.53078439,4.72486104,8.1176354,0.72781065,0.04733728,3.2e-09,NA,2.07035858
"BGA_Q1","SWP_Q1","C","C",84,0.45169195,0.59417168,4.61245191,6.68929192,0.71084337,0.04819277,0.0001221607,NA,1.973944242
"BHC_Q1","ALC_Q1","C","M",190,0.19402265,0.52317382,2.71904025,8.41724839,0.65079365,0.04232804,3.38127e-05,NA,2.015692309
"BHC_Q1","BAR_Q1","M","M",168,0.13008223,0.63909261,1.69543865,10.70577727,0.70658683,0.01197605,9.33e-08,NA,2.416257167
"BHC_Q1","DAAH_Q1","C","C",160,0.55593838,0.5876796,8.43349125,9.12999025,0.66666667,0.06918239,2.63199e-05,NA,2.167345295
"BHC_Q1","DMN4_Q1","C","M",183,0.32554808,0.54603991,4.64491302,8.76888722,0.64835165,0.03846154,6.26114e-05,NA,2.071280282
"BHC_Q1","EMP_Q1","C","C",197,0.49295975,0.52925782,7.93221037,8.71069241,0.66836735,0.07653061,2.4256e-06,NA,2.068694411
"BHC_Q1","F1B_Q1","C","M",115,0.27912742,0.58328904,3.10362168,7.63353094,0.69298246,0.03508772,3.77268e-05,NA,2.039624594
"BHC_Q1","IALP_Q1","C","C",136,0.49512898,0.52692959,6.62148935,7.17682877,0.6962963,0.03703704,5.0786e-06,NA,1.940908767
"BHC_Q1","OSND_Q1","C","M",184,0.37716209,0.54795774,5.50900965,8.8371797,0.7431694,0.03278689,0,NA,2.17484511
"BJG_Q1","BAR_Q1","M","C",242,0.31612008,0.506966,5.17276699,9.1115926,0.70539419,0.05394191,2e-10,NA,2.12351945
"BOUX_Q1","FLEV1_Q1","C","C",80,0.48224627,0.52373825,4.89283555,5.4297965,0.70886076,0.05063291,0.0002049869,NA,1.77557866
"BOUX_Q1","HOL_MBUF","C","H",63,0.30849022,0.58977737,2.55359983,5.70394152,0.74193548,0.03225806,0.0001389647,NA,1.902107002
"BOUX_Q1","HOL_TRPB","M","H",67,-0.13889773,0.51873618,-1.13945553,4.89181974,0.71212121,0.03030303,0.0005677688,NA,1.720039364
"BOUX_Q1","OFBG_Q1","M","M",55,-0.26757936,0.53483866,-2.04071159,4.60816007,0.7037037,0,0.0027550771,NA,1.699358367
"BOUX_Q1","TROY_Q1","M","M",193,0.23163127,0.50833188,3.29930614,8.15792207,0.72916667,0.03645833,2e-10,NA,2.053290757
"BSN_Q1","ALC_Q1","C","C",240,0.5137293,0.58958091,9.25699714,11.26099588,0.64853556,0.07949791,4.3774e-06,NA,2.364216058
"BSN_Q1","HOL_TRPB","M","H",68,0.58836233,0.52493266,5.95593459,5.01040275,0.74626866,0.04477612,5.54004e-05,NA,1.772241595
"BSN_Q1","NWH_Q1","M","M",193,0.26650926,0.56212198,3.83143456,9.39319214,0.65104167,0.078125,2.84177e-05,NA,2.152482864
"C4A_Q1","068_Q1","C","C",233,0.47672888,0.54773276,8.2604115,9.95013919,0.65948276,0.0387931,1.1838e-06,NA,2.202229439
"C4A_Q1","195_Q1","C","M",146,0.44446339,0.56565184,5.97462127,8.23121337,0.68275862,0.04137931,1.07549e-05,NA,2.071531797
"C4A_Q1","1DH_Q1","M","C",233,0.31134646,0.52234923,4.99032474,9.31010467,0.67672414,0.04310345,7.3e-08,NA,2.130083837
"C4A_Q1","DMN1_Q3","C","M",216,0.28411323,0.51230188,4.34497079,8.72645894,0.64651163,0.07906977,1.73466e-05,NA,2.031459404
"C4A_Q1","ELT_Q1","C","C",144,0.56641138,0.59977929,8.21879468,8.93214615,0.66433566,0.06293706,8.48267e-05,NA,2.157329565
"C4A_Q1","FLEV1_Q1","C","C",68,0.61543728,0.7519163,6.39134939,9.26585864,0.76119403,0.02985075,1.90341e-05,NA,2.439696194
"C4A_Q1","HOL_KBMB","C","H",301,0.38452629,0.59985343,7.21491648,12.96376332,0.70666667,0.03,0,NA,2.602896432
"C4A_Q1","HOL_LKBB","C","H",207,0.34217164,0.59320856,5.22657627,10.55023475,0.6407767,0.04368932,5.32121e-05,NA,2.289008735
"C4A_Q1","HOL_LKSB","M","H",200,0.43906048,0.55154319,6.89371533,9.30400384,0.65829146,0.04522613,7.9714e-06,NA,2.140235034
"C4A_Q1","HOL_MBUF","C","H",124,0.3807134,0.76103648,4.5661808,12.95792329,0.80487805,0.03252033,0,NA,2.861706859
"C4A_Q1","HOL_MRBR","C","H",138,0.22625745,0.61619232,2.71878016,9.12393918,0.73722628,0.05109489,2.8e-08,NA,2.265812518
"C4A_Q1","HOL_PALZ","C","H",132,0.34466809,0.62647726,4.2024109,9.16419795,0.69465649,0.02290076,8.3546e-06,NA,2.237553545
"C4A_Q1","HOL_TRPB","M","H",68,0.4145123,0.56666469,3.7283148,5.58724937,0.71641791,0.01492537,0.0003957319,NA,1.841807537
"C4A_Q1","HOL_TRRB","C","H",75,0.4855383,0.71402639,4.77772235,8.71372718,0.75675676,0.02702703,9.9891e-06,NA,2.342155868
"C4A_Q1","HOL_TRRS","M","H",239,0.18699846,0.57523993,2.93667413,10.82624871,0.65546218,0.02941176,1.6129e-06,NA,2.313326981
"C4A_Q1","MMB_Q1","C","M",106,0.40490119,0.55758229,4.53760066,6.84989464,0.6952381,0,6.30246e-05,NA,1.937809854
"C4A_Q1","SILL_Q2","M","M",123,0.42191566,0.56504254,5.1401174,7.53333641,0.69672131,0,1.38822e-05,NA,2.015097491
"C4A_Q1","VFH_Q2","C","C",302,0.58865499,0.63305889,12.63357222,14.16464292,0.73754153,0.03322259,0,NA,2.787064712
"C4A_Q1","VIGO_Q1","C","M",50,0.64873147,0.71137013,5.96717015,7.0125122,0.73469388,0.02040816,0.0010172414,NA,2.14731523
"C4CRH_Q1","585_Q1","C","C",70,0.60468602,0.65385286,6.30649939,7.12616166,0.72463768,0.05797101,0.0001899946,NA,2.091106706
"C4CRH_Q1","LRC_Q1","C","C",133,0.76050072,0.74888511,13.45601243,12.93403318,0.70454545,0.08333333,2.6004e-06,NA,2.746833878
"C5A_Q1","ALC_Q1","C","C",265,0.57271714,0.58484242,11.3516527,11.69276484,0.68939394,0.06439394,8e-10,NA,2.443512844
"C5A_Q1","IJS_Q1","C","C",159,0.62700226,0.55675128,10.11697015,8.39803514,0.67721519,0.05063291,8.3846e-06,NA,2.073769984
"C5A_Q1","LRB_Q1","M","M",211,0.69170858,0.59118609,13.87999524,10.59678269,0.69047619,0.05238095,3.38e-08,NA,2.341340549
"C5A_Q1","SPR_Q1","C","C",224,0.78229551,0.71771275,18.75425073,15.35699501,0.74439462,0.07174888,0,NA,2.997806871
"C5A_Q1","VDMWL_Q2","M","M",159,0.54992471,0.63173639,8.27625557,10.21130661,0.74683544,0.03797468,5e-10,NA,2.399702491
"C5A_Q1","VEL_Q2","C","C",117,0.66577832,0.67553246,9.61020687,9.82501211,0.70689655,0.03448276,8.3236e-06,NA,2.364930221
"C5A_Q1","VZS_Q1","M","M",136,0.62812566,0.65189927,9.37932007,9.95150236,0.74814815,0.05185185,8.1e-09,NA,2.395197656
